No,NIK ,NAMA_LGKP,JENIS_KLMN,TMPT_LHR,TGL_LHR,NO_AKTA _LHR,GOL_DRH,AGAMA,STAT_KWN,NO_AKTA_KWN,TGL_KWN,NO_AKTA_CRAI,TGL_CRAI,STAT_HBKEL,PDDK_AKH,JENIS_PKRJN,NAMA_LGKP_IBU,NAMA_LGKP_AYAH,NO_KK,  
1,3402111122223333,DENNY CAKNAN,L,SLEMAN,31/12/1990,3402-LU-20021999-0002,O,ISLAM,KAWIN,3254/2002,2/2/2002,0,0,KEPALA KELUARGA,STRATA,PNS,SUPARJINAH,BARDO,3402111122221111,
2,3402333322221111,HENDRA KUMBARA,L,BANTUL,2/7/1971,3402-LU-20022002-0003,B,ISLAM,KAWIN,3221/2008,4/2/2002,0,0,KEPALA KELUARGA,DIPLOMA,PNS,LEGIYEM,JONI,3402333322221122,
3,3402777788889999,DORY HARSA,L,KULON PROGO,13/07/1975,3402-LU-20021999-0003,B,ISLAM,BELUM KAWIN,-,-,0,0,KEPALA KELUARGA,SMA,TNI,TUKINEM,TUKIJAN,3402777788889955,
4,3402555522220000,NELLA KARISMA,P,SLEMAN,11/1/2000,3402-LU-20022002-0004,AB,ISLAM,KAWIN ,3221/2009,8/2/2002,0,0,ISTRI,STRATA,POLISI,HARJILAH,HADI,3402555522220011,
5,3402777744441111,RIHANNA,P,KOTA YOGYAKARTA,23/02/1987,3402-LU-20021999-0004,O,ISLAM,KAWIN,3254/2004,10/2/2002,0,0,ISTRI,SMA,PNS,TUMINI,HERU,3402777744441121,
6,3402333366667777,ARIANA GRANDE,P,BANTUL,8/10/1987,3402-LU-20022002-0005,B,ISLAM,KAWIN,3221/2010,12/2/2002,0,0,ISTRI,SMA,PNS,PARJIYEM,AGUS,3402333366667711,
7,3402111188889999,ELSA HASTARI,P,GUNUNG KIDUL,23/01/1995,3402-LU-20021999-0005,AB,ISLAM,BELUM KAWIN,-,-,0,0,ANAK,SMA,PNS,TINI,LAKSONO,3402111188889991,
8,3402111155559999,ANNA KUMALA,P,SLEMAN,20/06/1979,3402-LU-20022002-0006,A,ISLAM,KAWIN ,3221/2011,4/2/2003,0,0,ISTRI,STRATA,PNS,SITI,AGUNG,3402111155559994,
9,3402777744443333,MOANA ASTUTI,P,SLEMAN,6/7/1997,3402-LU-20021999-0006,O,ISLAM,KAWIN,3254/2006,6/2/2003,0,0,ISTRI,DIPLOMA,PNS,TINAH,HARDIYANTO,3402777744443332,
10,3402999977778888,BELLE JUBADIYAH,P,BANTUL,11/10/1976,3402-LU-20022002-0007,B,ISLAM,KAWIN,3221/2012,8/2/2003,0,0,ISTRI,SMA,GURU,ISNANINGSIH,TUKIMIN,3402999977778889,
11,3402888811117777,JASMINE TRI,P,GUNUNG KIDUL,1/1/2000,3402-LU-20021999-0007,B,ISLAM,BELUM KAWIN,-,-,0,0,ANAK,STRATA,PNS,NURLELA,PAMBUDI,3402888811117773,
12,3402999966663333,NAOMI JAWIYAH,P,SLEMAN,17/03/1995,3402-LU-20022002-0008,AB,ISLAM,KAWIN ,3221/2013,12/2/2003,0,0,ISTRI,SMA,PNS,SUYANTI,RAHARJO,3402999966663337,
13,3402222255558888,AURORA MUJAHADAH,P,SLEMAN,25/08/1999,3402-LU-20021999-0008,O,ISLAM,KAWIN,3254/2008,2/2/2004,0,0,ISTRI,SMA,PNS,SUTINAH,SUGENG,3402222255558884,
14,3402555533331111,MULAN HIDAYAH,P,BANTUL,27/12/2002,3402-LU-20022002-0009,B,ISLAM,KAWIN,3221/2014,4/2/2004,0,0,ISTRI,SMA,PNS,SUPARJILAH,PARNO,3402555533331112,
15,3402999955557777,OLAF HARJA,L,SEMARANG,9/8/2000,3402-LT-08102000-0001,O,ISLAM,BELUM KAWIN,-,-,0,0,FAMILI LAIN,DIPLOMA,KARYAWAN SWASTA,SRI SUDARYATI,SARTIDJAB,3402082109200001,
